core_frequency,max_amplitude,average_activation,duration,label
670.3827492,32767,0.008465086,0.093208333,clap
540.935642,0.9125246,0.006047863,0.418027211,clap
625.5331769,0.7353753,0.006684492,0.211587302,clap
649.4873409,0.99999994,0.008568882,0.307777778,clap
701.177557,1,0.008138703,0.283741497,clap
33.80765883,0.70251465,0.006510149,0.174943311,clap
48.70855809,0.9953562,0.006243527,0.492947846,clap
33.17364289,0.68600464,0.003923107,0.249977324,clap
177.4746598,1,0.007569734,0.190294785,clap
290.292786,30932,0.006547325,1.109931973,clap
508.1594784,1793255200,0.007965712,0.16325,clap
527.3726193,30936,0.00881731,0.591428571,clap
739.7193435,30931,0.007462016,0.584489796,clap
322.8940809,29811,0.008122567,1.820861678,clap
242.7073679,30937,0.009313224,0.360181406,clap
32.7048609,2139625000,0.007175446,0.23170068,clap
1970.280226,1329051900,0.00551577,0.157958333,clap
236.4088445,32767,0.005318483,0.556485261,clap
57.11571602,31827,0.009374154,1.848208617,clap
35.48611445,1727394300,0.00266265,0.403739583,clap
32.88270725,2077098500,0.006092542,0.269319728,clap
1962.997069,2044410400,0.006025753,0.139931973,clap
32.40754553,0.988,0.005274659,0.132018141,clap
563.0962324,18508,0.010460906,2.425986395,clap
273.8756223,32767,0.00850271,1.111111111,clap
592.5519428,1751960600,0.008185983,0.343469388,clap
36.26424488,2122870800,0.007536694,0.422585034,clap
35.98927429,23198,0.005415328,0.765623583,clap
1970.166529,30936,0.00533815,0.314716553,clap
48.28924152,1854157000,0.0071379,0.175283447,clap
1365.289048,30248,0.007534063,0.113446712,clap
668.2260184,2147483400,0.007599152,0.166208333,clap
65.28933085,953176800,0.00547962,1.104,clap
49.26235721,1819735300,0.00482845,0.316893424,clap
1966.175471,2121713900,0.006486908,0.280294785,clap
71.96428038,2147268600,0.008076962,1.552743764,clap
43.90380288,1290902500,0.005517775,0.175351474,clap
648.5461504,2121713900,0.009295408,0.25,clap
618.2578076,1995598800,0.006827445,0.2,clap
79.85116149,2121713700,0.009038817,0.6,clap
1849.836561,32767,0.005513559,0.507188209,clap
1047.132381,2121713700,0.006621689,0.084195011,clap
33.97457397,1955550700,0.004545483,0.364693878,clap
33.43559102,2122787600,0.003945143,0.47244898,clap
260.0388873,1987884000,0.006755488,0.478526077,clap
143.1212516,2121713700,0.006858293,0.426145125,clap
1964.282824,1990861300,0.00599949,0.320975057,clap
1960.199811,2122901800,0.006198973,0.102630385,clap
1963.136762,1847895600,0.006198996,0.187188209,clap
1967.662583,2121713400,0.006257125,0.316371882,clap
418.8128015,29310,0.008173925,0.549727891,clap
47.31628069,1712197400,0.003301848,0.301791383,clap
1507.260919,28713,0.006088139,1.013106576,clap
440.4172644,1176974600,0.010090981,0.874988662,clap
32.93213943,1507271200,0.004950166,0.372403628,clap
307.0556363,32767,0.00973172,1.589410431,clap
352.7389642,24014,0.007714148,0.707006803,clap
82.41855717,2121713700,0.007825231,0.134557823,clap
35.68641432,2083872500,0.007710393,0.129183673,clap
612.7900879,2147221500,0.007427451,0.375011338,clap
729.396773,2125152800,0.007599867,0.642018141,clap
119.8915538,2074579000,0.005312935,0.481882086,clap
583.8098521,2147483400,0.006361502,0.6,clap
32.24289283,0.9731104,0.002010157,0.047709751,clap
1576.541687,2121713900,0.010046187,0.753492063,clap
1383.593514,2121713900,0.004207089,0.071746032,clap
591.6818198,2147483400,0.005376436,1.718752834,clap
243.6243685,2051810300,0.006332922,0.424648526,clap
59.56447934,2121713900,0.0064425,0.328095238,clap
59.57070623,32027,0.007473039,0.552517007,clap
40.52053283,1983656200,0.008976534,0.487959184,clap
329.3208982,1627272000,0.008997413,0.364489796,clap
32.60202686,2101780000,0.006811409,0.197142857,clap
354.2834654,2121713700,0.008163088,0.30893424,clap
1957.092768,2147483400,0.008766598,0.2924375,clap
768.547983,2038501900,0.010172149,0.128208617,clap
119.6012075,1886979300,0.003606861,0.13968254,clap
43.42189407,2121713900,0.008257665,0.742426304,clap
992.5462935,2122776600,0.010900658,1.375782313,clap
1313.023968,1668809000,0.004496646,0.161723356,clap
679.6923133,905358600,0.007425727,0.110362812,clap
275.7146673,923591700,0.0083095,3.697120181,clap
335.5930134,0.87292975,0.00799563,0.064036281,clap
32.88939211,2062906400,0.002572974,0.857142857,clap
670.3827492,32767,0.008465086,0.093208333,clap
208.6231354,2122901800,0.008026825,7.38462585,clap
555.3853448,0.9856964,0.004343251,3.637142857,clap
165.9179285,23976,0.00808599,1,clap
33.44406104,1850128900,0.007256559,0.801746032,clap
474.4973277,1887866600,0.008131665,2.142879819,clap
206.7080721,1886577200,0.00895928,1.144512472,clap
670.564309,1,0.005868716,0.158730159,clap
514.8852693,1.404595,0.004009485,0.795351474,clap
601.3851946,0.5270545,0.003838377,1.850952381,clap
697.7719409,28214,0.006509536,0.0861678,clap
62.15169559,2129725400,0.005924981,0.098208617,clap
92.23382728,2.0143082,0.005152763,0.039886621,clap
594.9054665,0.8190268,0.00778504,0.630634921,clap
277.8554396,0.7795813,0.01088138,0.9230839,clap
384.9052965,0.586965,0.008646727,0.9230839,clap
574.3592792,0.3847748,0.004085819,0.9230839,clap
327.3794419,0.68530357,0.00938504,0.9230839,clap
476.5717579,0.5119305,0.006559086,0.9230839,clap
287.2790721,0.5032912,0.010213785,0.9230839,clap
686.4260391,27256,0.009506997,0.088253968,clap
587.0887847,0.50607204,0.004787216,0.9230839,clap
333.4904856,0.4389327,0.005155456,0.9230839,clap
512.3808797,0.5119306,0.008529152,0.9230839,clap
72.66595096,0.9548482,0.007141118,0.210861678,clap
99.14085917,1784405200,0.008497551,1.614580499,clap
1286.196331,0.692367,0.002749817,1.437505669,clap
894.0326081,1752694800,0.001625943,0.975963719,clap
72.77958229,0.95483214,0.007017932,0.236326531,clap
555.5995493,21769,0.004128606,1.850952381,clap
300.2730111,2.4545493,0.009188039,0.0769161,clap
676.8310935,0.9999957,0.006849653,0.107777778,clap
549.2175601,32767,0.003654149,6.717664399,clap
1948.062297,29545,0.00213397,0.407120181,clap
32.79728733,0.44756857,0.006396024,0.103560091,clap
249.4750896,1.4250897,0.007862776,0.0663125,clap
306.9659654,1913946600,0.008108324,0.497732426,clap
1966.932406,27667,0.006233946,0.110272109,clap
1968.851802,32757,0.007221522,0.188979592,clap
669.8541555,1913946900,0.006418834,0.235578231,clap
585.552641,2147483400,0.008379164,0.177120181,clap
332.0359317,1.0122443,0.00706755,0.1125,clap
670.3827492,32767,0.008465086,0.093208333,clap
38.09182248,1913946600,0.005466363,0.631995465,clap
1914.633811,1896399600,0.00506067,1.836643991,clap
314.3946669,1.2980137,0.008672911,1.527188209,clap
1707.652279,1913888500,0.004477749,0.135442177,clap
1961.238803,1782269400,0.007208948,0.193741497,clap
1964.02217,2121713900,0.003312527,0.23015873,clap
61.98754832,2121713700,0.004245392,0.180680272,clap
1953.288609,1987991300,0.005354608,0.215827664,clap
1961.440833,2121713700,0.001748667,0.284557823,clap
559.1031172,27637,0.004515067,1.31553288,clap
683.4942487,1829512200,0.007302718,0.093900227,clap
286.9228032,2122787600,0.007696219,15,cymbal
1591.804332,0.99999994,0.002309312,1.263151927,cymbal
295.7060793,32137,0.005722592,5.047573696,cymbal
466.1904714,1589905900,0.00600805,2.757573696,cymbal
527.1359823,1732977200,0.00438275,1.26853125,cymbal
513.2422997,18956,0.005909578,2.659818594,cymbal
665.5338721,1360286000,0.007448186,1.044603175,cymbal
421.9942431,1361203000,0.00676944,2.751315193,cymbal
1892.113281,1810737900,0.002814568,2.142040816,cymbal
227.0447758,2121713900,0.008387849,9.481292517,cymbal
829.8973768,2090459400,0.002363248,3.617165533,cymbal
722.8087999,713174800,0.002898969,1.941179138,cymbal
208.793935,727668000,0.009762189,25.08886621,cymbal
125.4577374,764838140,0.007658155,13.52027211,cymbal
366.9265979,528677380,0.010400848,4.661972789,cymbal
1617.028463,7021,0.002101134,1,cymbal
977.09334,2121713700,0.004454109,2.053310658,cymbal
423.9994512,2121713700,0.00472777,2.743900227,cymbal
